run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,switches,detections,precision,recall,median_delay,mean_delay,p90_delay,false_positives,false_pos_per_1k
paper_full_v2_escp_HalfCheetah_dw60_s3,paper_full_v2,escp,HalfCheetah-v2,3,60,300,1499,True,11917.888,2558.250,14338.334,19.660,47.183,1.848,True,0,0,,,,,,,
paper_full_v2_escp_HalfCheetah_dw60_s4,paper_full_v2,escp,HalfCheetah-v2,4,60,300,1499,True,13813.790,2098.654,15453.399,19.655,47.172,1.845,True,0,0,,,,,,,
paper_full_v2_resac_Ant_dw60_s0,paper_full_v2,resac,Ant-v2,0,60,300,1499,True,2488.252,1461.190,15283.191,10.820,25.969,1.232,True,0,0,,,,,,,
paper_full_v2_resac_Ant_dw60_s1,paper_full_v2,resac,Ant-v2,1,60,300,1499,True,6726.806,6241.760,19620.002,10.990,26.375,1.251,True,0,0,,,,,,,
paper_full_v2_resac_Ant_dw60_s2,paper_full_v2,resac,Ant-v2,2,60,300,1499,True,2604.688,2254.001,15583.620,11.178,26.828,1.303,True,0,0,,,,,,,
paper_full_v2_resac_Ant_dw60_s3,paper_full_v2,resac,Ant-v2,3,60,300,1499,True,6831.113,6664.668,21170.043,11.034,26.482,1.271,True,0,0,,,,,,,
paper_full_v2_resac_Ant_dw60_s4,paper_full_v2,resac,Ant-v2,4,60,300,1499,True,1251.922,535.337,14102.495,9.983,23.960,1.113,True,0,0,,,,,,,
paper_full_v2_resac_HalfCheetah_dw60_s0,paper_full_v2,resac,HalfCheetah-v2,0,60,300,1499,True,18387.772,490.909,19651.756,22.361,53.668,1.241,True,0,0,,,,,,,
paper_full_v2_resac_HalfCheetah_dw60_s1,paper_full_v2,resac,HalfCheetah-v2,1,60,300,1499,True,14064.521,444.780,14900.946,22.654,54.370,1.258,True,0,0,,,,,,,
paper_full_v2_resac_HalfCheetah_dw60_s2,paper_full_v2,resac,HalfCheetah-v2,2,60,300,1499,True,8531.809,269.971,9467.740,24.631,59.115,1.433,True,0,0,,,,,,,
paper_full_v2_resac_HalfCheetah_dw60_s3,paper_full_v2,resac,HalfCheetah-v2,3,60,300,1499,True,16319.713,830.461,17653.888,20.325,48.779,1.104,True,0,0,,,,,,,
paper_full_v2_resac_HalfCheetah_dw60_s4,paper_full_v2,resac,HalfCheetah-v2,4,60,300,1499,True,20217.047,1222.385,21805.443,21.838,52.410,1.205,True,0,0,,,,,,,
paper_full_v2_sac_Ant_dw60_s0,paper_full_v2,sac,Ant-v2,0,60,300,1499,True,11570.642,335.566,12300.815,7.679,18.430,0.774,True,0,0,,,,,,,
paper_full_v2_sac_Ant_dw60_s1,paper_full_v2,sac,Ant-v2,1,60,300,1499,True,16521.106,6423.325,21643.357,7.282,17.476,0.726,True,0,0,,,,,,,
paper_full_v2_sac_Ant_dw60_s2,paper_full_v2,sac,Ant-v2,2,60,300,1499,True,17578.766,890.924,19233.307,7.162,17.189,0.670,True,0,0,,,,,,,
paper_full_v2_sac_Ant_dw60_s3,paper_full_v2,sac,Ant-v2,3,60,300,1499,True,18770.357,465.109,19720.590,6.358,15.259,0.584,True,0,0,,,,,,,
paper_full_v2_sac_Ant_dw60_s4,paper_full_v2,sac,Ant-v2,4,60,300,1499,True,16891.757,2764.577,19085.893,3.675,8.820,0.192,True,0,0,,,,,,,
paper_full_v2_sac_HalfCheetah_dw60_s0,paper_full_v2,sac,HalfCheetah-v2,0,60,300,1499,True,8070.188,285.562,8544.142,22.386,53.726,1.262,True,0,0,,,,,,,
paper_full_v2_sac_HalfCheetah_dw60_s1,paper_full_v2,sac,HalfCheetah-v2,1,60,300,1499,True,21352.867,504.120,22381.038,22.687,54.449,1.261,True,0,0,,,,,,,
paper_full_v2_sac_HalfCheetah_dw60_s2,paper_full_v2,sac,HalfCheetah-v2,2,60,300,1499,True,13491.645,449.715,14472.847,24.470,58.727,1.399,True,0,0,,,,,,,
paper_full_v2_sac_HalfCheetah_dw60_s3,paper_full_v2,sac,HalfCheetah-v2,3,60,300,1499,True,8618.458,161.704,8934.680,18.310,43.944,0.951,True,0,0,,,,,,,
paper_full_v2_sac_HalfCheetah_dw60_s4,paper_full_v2,sac,HalfCheetah-v2,4,60,300,1499,True,7653.178,389.203,9611.926,23.295,55.907,1.317,True,0,0,,,,,,,
paper_legacy_v2_bapr_Ant_dw60_s0,paper_legacy_v2,bapr,Ant-v2,0,60,300,1499,True,15748.920,6256.711,21531.838,11.054,26.529,2.508,True,28,19,0.342,0.679,16.0,19.4,42.2,4,2.67
paper_legacy_v2_bapr_Ant_dw60_s1,paper_legacy_v2,bapr,Ant-v2,1,60,300,1499,True,16431.595,5995.654,21641.357,11.255,27.011,2.564,True,25,19,0.310,0.760,20.0,19.3,35.2,8,5.33
paper_legacy_v2_bapr_Ant_dw60_s2,paper_legacy_v2,bapr,Ant-v2,2,60,300,1499,True,17077.104,4037.165,19665.881,11.768,28.242,2.649,True,21,17,0.368,0.810,11.0,14.4,28.4,7,4.67
paper_legacy_v2_bapr_HalfCheetah_dw60_s0,paper_legacy_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,12571.336,611.614,13506.550,14.116,33.880,1.591,True,28,23,0.417,0.821,15.0,17.9,34.0,8,5.33
paper_legacy_v2_bapr_HalfCheetah_dw60_s1,paper_legacy_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,8777.734,526.696,9835.928,14.125,33.900,1.584,True,25,18,0.382,0.720,22.0,20.9,41.2,6,4.00
paper_legacy_v2_bapr_HalfCheetah_dw60_s2,paper_legacy_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,6705.663,2638.705,9006.808,14.918,35.804,1.560,True,21,13,0.407,0.619,16.0,21.8,44.4,4,2.67
paper_negative_v2_bapr_Hopper_dw60_s0,paper_negative_v2,bapr,Hopper-v2,0,60,300,1499,True,463.656,10.831,481.339,7.341,17.619,1.567,True,28,21,0.471,0.750,18.0,16.2,28.0,5,3.33
paper_negative_v2_bapr_Hopper_dw60_s1,paper_negative_v2,bapr,Hopper-v2,1,60,300,1499,True,402.121,19.036,429.487,7.949,19.079,1.677,True,25,24,0.400,0.960,20.0,23.0,39.1,6,4.00
paper_negative_v2_bapr_Hopper_dw60_s2,paper_negative_v2,bapr,Hopper-v2,2,60,300,1499,True,459.885,17.171,494.715,6.427,15.424,1.395,True,19,15,0.387,0.789,30.0,25.4,40.2,8,5.33
paper_negative_v2_bapr_Walker2d_dw60_s0,paper_negative_v2,bapr,Walker2d-v2,0,60,300,1499,True,325.153,5.425,414.391,7.306,17.535,1.576,True,28,20,0.382,0.714,7.5,13.7,28.3,6,4.00
paper_negative_v2_bapr_Walker2d_dw60_s1,paper_negative_v2,bapr,Walker2d-v2,1,60,300,1499,True,326.962,6.100,410.270,7.304,17.529,1.705,True,25,16,0.414,0.640,10.0,18.8,44.5,5,3.33
paper_negative_v2_bapr_Walker2d_dw60_s2,paper_negative_v2,bapr,Walker2d-v2,2,60,300,1499,True,312.052,3.156,370.333,6.738,16.170,1.561,True,21,12,0.323,0.571,20.5,22.5,34.9,7,4.67
paper_negative_v2_escp_Hopper_dw60_s0,paper_negative_v2,escp,Hopper-v2,0,60,300,1499,True,557.795,82.334,698.247,5.899,14.157,1.745,True,0,0,,,,,,,
paper_negative_v2_escp_Hopper_dw60_s1,paper_negative_v2,escp,Hopper-v2,1,60,300,1499,True,734.517,132.800,890.439,7.129,17.109,2.222,True,0,0,,,,,,,
paper_negative_v2_escp_Hopper_dw60_s2,paper_negative_v2,escp,Hopper-v2,2,60,300,1499,True,707.093,134.708,858.519,7.117,17.081,2.197,True,0,0,,,,,,,
