run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std
paper_negative_v2_resac_Walker2d_dw60_s0,paper_negative_v2,resac,Walker2d-v2,0,60,300,1499,True,381.868,70.296,515.945,6.776,16.262,0.792,True
paper_negative_v2_resac_Walker2d_dw60_s1,paper_negative_v2,resac,Walker2d-v2,1,60,300,1499,True,862.963,390.289,5975.900,6.699,16.078,0.767,True
paper_negative_v2_resac_Walker2d_dw60_s2,paper_negative_v2,resac,Walker2d-v2,2,60,300,1499,True,512.837,29.301,5473.870,6.734,16.161,0.779,True
paper_negative_v2_sac_Hopper_dw60_s0,paper_negative_v2,sac,Hopper-v2,0,60,300,1499,True,423.490,13.711,488.597,6.441,15.457,1.158,True
paper_negative_v2_sac_Hopper_dw60_s1,paper_negative_v2,sac,Hopper-v2,1,60,300,1499,True,437.979,19.281,470.701,6.473,15.535,1.161,True
paper_negative_v2_sac_Hopper_dw60_s2,paper_negative_v2,sac,Hopper-v2,2,60,300,1499,True,434.677,39.162,481.880,5.819,13.967,1.011,True
paper_negative_v2_sac_Walker2d_dw60_s0,paper_negative_v2,sac,Walker2d-v2,0,60,300,1499,True,297.221,6.508,384.992,9.261,22.227,1.723,True
paper_negative_v2_sac_Walker2d_dw60_s1,paper_negative_v2,sac,Walker2d-v2,1,60,300,1499,True,275.240,6.126,423.172,7.218,17.324,1.291,True
paper_negative_v2_sac_Walker2d_dw60_s2,paper_negative_v2,sac,Walker2d-v2,2,60,300,1499,True,280.445,10.550,345.704,6.742,16.180,0.761,True
paper_oracle_v2_bapr_Ant_dw60_s0,paper_oracle_v2,bapr,Ant-v2,0,60,300,1499,True,17230.977,6261.397,21977.306,13.231,31.755,2.917,True
paper_oracle_v2_bapr_Ant_dw60_s1,paper_oracle_v2,bapr,Ant-v2,1,60,300,1499,True,21858.507,411.840,22583.433,9.843,23.623,1.452,True
paper_oracle_v2_bapr_Ant_dw60_s2,paper_oracle_v2,bapr,Ant-v2,2,60,300,1499,True,18484.151,1044.222,21227.527,9.844,23.625,1.465,True
paper_oracle_v2_bapr_HalfCheetah_dw60_s0,paper_oracle_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,13858.308,227.585,14313.611,19.391,46.539,2.073,True
paper_oracle_v2_bapr_HalfCheetah_dw60_s1,paper_oracle_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,12088.863,328.916,12866.588,19.268,46.243,2.049,True
paper_oracle_v2_bapr_HalfCheetah_dw60_s2,paper_oracle_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,8759.406,166.152,9913.688,18.063,43.352,1.880,True
paper_sac_Ant_dw60_s0,paper,sac,Ant-v2,0,60,300,1499,True,19988.845,706.671,21760.626,4.433,10.640,0.270,True
paper_sac_Ant_dw60_s1,paper,sac,Ant-v2,1,60,300,1499,True,18193.119,2985.535,20951.484,6.469,15.525,0.556,True
paper_sac_Ant_dw60_s2,paper,sac,Ant-v2,2,60,21,100,False,4105.159,427.882,4971.634,0.769,27.416,1.334,True
paper_sac_HalfCheetah_dw60_s0,paper,sac,HalfCheetah-v2,0,60,300,1499,True,13626.696,604.125,15120.353,7.518,18.042,0.152,True
paper_sac_HalfCheetah_dw60_s1,paper,sac,HalfCheetah-v2,1,60,300,1499,True,14803.981,389.834,15695.880,14.666,35.199,0.684,True
paper_sac_HalfCheetah_dw60_s2,paper,sac,HalfCheetah-v2,2,60,300,1499,True,22733.053,555.510,24591.801,,,,False
paper_sac_Hopper_dw60_s0,paper,sac,Hopper-v2,0,60,300,1499,True,581.456,11.239,604.038,2.189,5.253,0.139,True
paper_sac_Hopper_dw60_s1,paper,sac,Hopper-v2,1,60,300,1499,True,396.720,58.972,543.075,5.116,12.277,0.802,True
paper_sac_Hopper_dw60_s2,paper,sac,Hopper-v2,2,60,300,1499,True,376.478,9.142,486.570,8.497,20.392,1.633,True
paper_sac_Walker2d_dw60_s0,paper,sac,Walker2d-v2,0,60,300,1499,True,295.562,9.618,471.853,9.123,21.896,1.785,True
paper_sac_Walker2d_dw60_s1,paper,sac,Walker2d-v2,1,60,300,1499,True,298.309,2.239,349.958,9.124,21.898,1.790,True
paper_sac_Walker2d_dw60_s2,paper,sac,Walker2d-v2,2,60,300,1499,True,321.287,6.371,413.200,,,,False
paper_sens_v2_ep1_bapr_Ant_dw60_s0,paper_sens_v2_ep1,bapr,Ant-v2,0,60,300,1499,True,22908.042,4557.423,24843.633,8.879,21.308,1.752,True
paper_sens_v2_ep1_bapr_HalfCheetah_dw60_s0,paper_sens_v2_ep1,bapr,HalfCheetah-v2,0,60,300,1499,True,14918.843,498.412,15733.521,30.344,72.826,3.581,True
paper_sens_v2_ep2_bapr_Ant_dw60_s0,paper_sens_v2_ep2,bapr,Ant-v2,0,60,300,1499,True,21458.300,3792.090,24506.863,8.950,21.479,1.197,True
paper_sens_v2_ep2_bapr_HalfCheetah_dw60_s0,paper_sens_v2_ep2,bapr,HalfCheetah-v2,0,60,300,1499,True,9028.297,2358.828,10473.051,19.970,47.929,1.455,True
paper_sens_v2_ep4_bapr_Ant_dw60_s0,paper_sens_v2_ep4,bapr,Ant-v2,0,60,300,1499,True,16387.991,7222.627,22547.808,12.653,30.368,2.784,True
paper_sens_v2_ep4_bapr_HalfCheetah_dw60_s0,paper_sens_v2_ep4,bapr,HalfCheetah-v2,0,60,300,1499,True,6945.690,3363.801,10482.722,17.554,42.131,1.496,True
paper_sens_v2_ep8_bapr_Ant_dw60_s0,paper_sens_v2_ep8,bapr,Ant-v2,0,60,300,1499,True,24586.078,655.340,27161.438,11.922,28.613,1.606,True
paper_sens_v2_ep8_bapr_HalfCheetah_dw60_s0,paper_sens_v2_ep8,bapr,HalfCheetah-v2,0,60,300,1499,True,10925.803,616.366,12133.197,18.813,45.150,1.359,True
paper_sens_v2_h10_bapr_Ant_dw60_s0,paper_sens_v2_h10,bapr,Ant-v2,0,60,300,1499,True,18330.744,3391.699,21141.150,10.110,24.264,2.209,True
paper_sens_v2_h10_bapr_HalfCheetah_dw60_s0,paper_sens_v2_h10,bapr,HalfCheetah-v2,0,60,300,1499,True,8663.509,377.799,9426.544,16.540,39.695,1.733,True
paper_sens_v2_h20_bapr_Ant_dw60_s0,paper_sens_v2_h20,bapr,Ant-v2,0,60,300,1499,True,19147.407,5693.144,23796.025,10.689,25.654,1.431,True
paper_sens_v2_h20_bapr_HalfCheetah_dw60_s0,paper_sens_v2_h20,bapr,HalfCheetah-v2,0,60,300,1499,True,12145.473,911.113,13374.218,17.609,42.261,1.490,True
paper_sens_v2_h40_bapr_Ant_dw60_s0,paper_sens_v2_h40,bapr,Ant-v2,0,60,300,1499,True,15105.808,6838.165,21882.521,9.042,21.701,1.210,True
