run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,mode_means,worst_mode,worst_mode_mean,mean_worst_gap,worst_quartile_mean,recovery_n,recovery_median_iters,recovery_mean_iters
paper_bapr_Hopper_dw60_s1,paper,bapr,Hopper-v2,1,60,300,1499,True,382.437,4.524,430.434,6.695,16.069,2.119,True,0:384.3;1:380.0;2:383.2;3:383.1,1,380.027,2.609,376.159,26,2.0,2.0
paper_bapr_Hopper_dw60_s2,paper,bapr,Hopper-v2,2,60,300,1499,True,451.735,6.211,469.946,2.305,5.533,0.318,True,1:451.5;3:451.8,1,451.526,0.139,442.944,19,2.0,2.8
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s1,paper,bapr_no_adapt_beta,HalfCheetah-v2,1,60,300,1499,True,20603.430,4239.366,23443.195,15.793,37.904,1.257,True,0:17723.4;1:22366.8;2:20728.4;3:19697.8,0,17723.401,2405.690,16496.042,23,2.0,2.0
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s2,paper,bapr_no_adapt_beta,HalfCheetah-v2,2,60,300,1499,True,18173.600,954.747,19443.549,15.794,37.905,1.267,True,0:18788.8;1:18086.0;2:17545.4;3:18650.7,2,17545.441,722.302,16948.788,21,2.0,2.2
paper_bapr_no_bocd_HalfCheetah_dw60_s1,paper,bapr_no_bocd,HalfCheetah-v2,1,60,300,1499,True,18905.643,1257.621,21361.317,7.571,18.170,0.224,True,0:19366.9;1:17662.9;2:19744.3;3:18777.6,1,17662.919,1225.006,17313.161,24,3.0,7.9
paper_bapr_no_bocd_HalfCheetah_dw60_s2,paper,bapr_no_bocd,HalfCheetah-v2,2,60,300,1499,True,8779.464,402.797,10901.047,24.277,58.264,2.492,True,0:8661.8;1:8763.9;2:8871.1;3:8744.6,0,8661.764,98.592,8272.364,21,1.0,1.7
paper_bapr_no_rmdm_HalfCheetah_dw60_s1,paper,bapr_no_rmdm,HalfCheetah-v2,1,60,300,1499,True,11026.111,595.792,12553.994,7.525,18.060,0.167,True,0:11931.9;1:10879.7;2:11020.6;3:10928.6,1,10879.675,310.516,10258.968,24,2.0,1.9
paper_bapr_no_rmdm_HalfCheetah_dw60_s2,paper,bapr_no_rmdm,HalfCheetah-v2,2,60,300,1499,True,9398.910,485.861,11437.473,7.504,18.011,0.165,True,0:8884.1;1:9313.8;2:9629.0;3:9408.2,0,8884.051,424.698,8787.451,21,2.0,3.2
paper_bapr_Walker2d_dw60_s1,paper,bapr,Walker2d-v2,1,60,300,1499,True,376.145,14.086,431.800,0.036,129.889,0.000,True,0:376.1,0,376.145,0.000,358.940,0,,
paper_bapr_Walker2d_dw60_s2,paper,bapr,Walker2d-v2,2,60,300,1499,True,326.229,4.709,341.317,4.855,11.652,1.249,True,0:326.3;1:327.9;2:324.8;3:325.7,2,324.810,1.378,319.382,22,2.0,2.2
paper_escp_Hopper_dw60_s1,paper,escp,Hopper-v2,1,60,300,1499,True,667.582,71.876,861.308,4.731,11.354,1.303,True,0:684.3;1:670.1;2:658.5;3:672.7,2,658.489,12.904,576.255,26,2.0,2.0
paper_escp_Hopper_dw60_s2,paper,escp,Hopper-v2,2,60,300,1499,True,715.135,26.277,765.313,4.735,11.365,1.310,True,0:684.7;1:717.9;2:699.4;3:732.7,0,684.704,23.974,677.787,22,2.0,2.2
paper_escp_Walker2d_dw60_s1,paper,escp,Walker2d-v2,1,60,300,1499,True,573.443,102.178,789.397,4.827,11.584,1.197,True,0:611.8;1:574.6;2:508.3;3:644.4,2,508.291,76.457,429.567,26,2.0,2.4
paper_escp_Walker2d_dw60_s2,paper,escp,Walker2d-v2,2,60,300,1499,True,347.076,36.934,696.526,2.353,5.646,0.209,True,0:336.0;1:322.0;2:364.4;3:360.1,1,322.018,23.590,302.562,22,2.0,4.7
paper_full_v2_bapr_Ant_dw60_s0,paper_full_v2,bapr,Ant-v2,0,60,300,1499,True,18319.318,3071.565,21674.386,11.758,28.219,2.597,True,1:17957.4;3:19566.1,1,17957.358,804.354,15053.210,25,3.0,4.6
paper_full_v2_bapr_Ant_dw60_s1,paper_full_v2,bapr,Ant-v2,1,60,300,1499,True,23382.337,835.926,25992.459,12.291,29.499,2.621,True,0:23439.6;1:23289.8;2:23312.5;3:23532.4,1,23289.803,103.790,22251.696,26,2.0,2.0
paper_full_v2_bapr_Ant_dw60_s2,paper_full_v2,bapr,Ant-v2,2,60,300,1499,True,21729.088,649.066,22874.952,12.490,29.976,2.797,True,0:21391.8;1:21615.9;2:21641.2;3:21994.4,0,21391.826,269.025,20843.925,22,2.0,3.4
paper_full_v2_bapr_Ant_dw60_s3,paper_full_v2,bapr,Ant-v2,3,60,300,1499,True,18976.784,8325.746,25912.699,12.532,30.076,2.858,True,0:18870.1;1:23138.7,0,18870.067,2134.333,4950.523,30,2.5,5.4
paper_full_v2_bapr_Ant_dw60_s4,paper_full_v2,bapr,Ant-v2,4,60,300,1499,True,20922.783,5863.684,25832.600,13.275,31.861,3.060,True,0:20289.1;1:23218.1;2:21160.7,0,20289.090,1266.863,13104.270,35,2.0,3.4
paper_full_v2_bapr_HalfCheetah_dw60_s0,paper_full_v2,bapr,HalfCheetah-v2,0,60,300,1499,True,7831.850,199.758,9439.235,7.698,18.474,0.386,True,0:7851.8;1:7720.1;3:7857.4,1,7720.145,89.638,7593.994,27,2.0,2.2
paper_full_v2_bapr_HalfCheetah_dw60_s1,paper_full_v2,bapr,HalfCheetah-v2,1,60,300,1499,True,10210.675,224.184,10828.250,19.460,46.703,2.038,True,1:10189.9;2:9905.0;3:10283.5,2,9905.046,221.116,9927.353,26,2.0,2.5
paper_full_v2_bapr_HalfCheetah_dw60_s2,paper_full_v2,bapr,HalfCheetah-v2,2,60,300,1499,True,12465.600,418.299,14098.432,22.928,55.027,2.570,True,0:12662.5;1:12563.8;2:12321.6;3:12443.7,2,12321.645,176.284,11898.696,21,2.0,2.2
paper_full_v2_bapr_HalfCheetah_dw60_s3,paper_full_v2,bapr,HalfCheetah-v2,3,60,300,1499,True,6046.758,172.434,6451.085,18.269,43.845,1.909,True,0:6043.4;1:6177.8,0,6043.399,67.184,5843.893,27,2.0,2.2
paper_full_v2_bapr_HalfCheetah_dw60_s4,paper_full_v2,bapr,HalfCheetah-v2,4,60,300,1499,True,9887.167,334.474,10845.894,16.282,39.078,1.566,True,0:10061.1;1:10052.8;2:9696.2,2,9696.226,240.494,9453.178,33,2.0,2.1
paper_full_v2_escp_Ant_dw60_s0,paper_full_v2,escp,Ant-v2,0,60,300,1499,True,3714.803,3826.678,17891.129,11.778,28.267,2.385,True,1:3908.3;3:3048.1,3,3048.144,430.102,1146.869,25,5.0,55.8
paper_full_v2_escp_Ant_dw60_s1,paper_full_v2,escp,Ant-v2,1,60,300,1499,True,1448.748,646.815,13154.481,11.941,28.659,2.374,True,0:2278.4;1:1711.4;2:1143.6;3:1403.9,2,1143.599,490.726,718.701,26,4.0,96.6
paper_full_v2_escp_Ant_dw60_s2,paper_full_v2,escp,Ant-v2,2,60,300,1499,True,1578.520,667.022,10771.714,11.912,28.588,2.382,True,0:1642.8;1:1326.4;2:1449.9;3:1924.6,1,1326.359,259.587,737.674,22,2.0,3.6
paper_full_v2_escp_Ant_dw60_s3,paper_full_v2,escp,Ant-v2,3,60,300,1499,True,5249.091,5098.488,22145.518,12.040,28.896,2.405,True,0:5369.8;1:540.6,1,540.589,2414.616,1130.152,30,3.0,21.2
paper_full_v2_escp_Ant_dw60_s4,paper_full_v2,escp,Ant-v2,4,60,300,1499,True,2504.137,1000.344,17466.972,11.900,28.560,2.355,True,0:2560.3;1:2349.7;2:2475.3,1,2349.723,112.055,1430.588,35,4.0,36.4
paper_full_v2_escp_HalfCheetah_dw60_s0,paper_full_v2,escp,HalfCheetah-v2,0,60,300,1499,True,17537.263,629.158,18854.531,23.256,55.814,2.437,True,0:17046.9;1:18241.4;3:17558.4,0,17046.886,568.686,16762.235,28,2.0,3.3
paper_full_v2_escp_HalfCheetah_dw60_s1,paper_full_v2,escp,HalfCheetah-v2,1,60,300,1499,True,9846.773,3745.740,15571.825,23.387,56.128,1.983,True,0:8453.9;1:10919.4;2:10245.3;3:8803.0,0,8453.884,1151.510,4999.695,23,2.0,5.5
paper_full_v2_escp_HalfCheetah_dw60_s2,paper_full_v2,escp,HalfCheetah-v2,2,60,300,1499,True,14444.708,3132.010,16595.260,23.384,56.121,2.042,True,0:15717.6;1:14595.5;2:12509.8;3:15637.5,2,12509.771,2105.299,11294.752,21,2.0,2.2
paper_full_v2_escp_HalfCheetah_dw60_s3,paper_full_v2,escp,HalfCheetah-v2,3,60,300,1499,True,11917.888,2558.250,14338.334,19.660,47.183,1.848,True,0:11882.9;1:13281.1,0,11882.934,699.098,7940.494,30,2.0,8.9
paper_full_v2_escp_HalfCheetah_dw60_s4,paper_full_v2,escp,HalfCheetah-v2,4,60,300,1499,True,13813.790,2098.654,15453.399,19.655,47.172,1.845,True,0:14421.7;1:14145.8;2:13185.4,2,13185.430,732.208,11965.145,33,2.0,2.1
paper_full_v2_resac_Ant_dw60_s0,paper_full_v2,resac,Ant-v2,0,60,300,1499,True,2488.252,1461.190,15283.191,10.820,25.969,1.232,True,0:2138.2;1:2351.6;3:2706.8,0,2138.202,260.640,1098.763,28,3.0,47.6
paper_full_v2_resac_Ant_dw60_s1,paper_full_v2,resac,Ant-v2,1,60,300,1499,True,6726.806,6241.760,19620.002,10.990,26.375,1.251,True,0:8787.0;1:5369.1;2:7487.4;3:6392.4,1,5369.143,1639.846,1808.169,26,4.0,43.3
paper_full_v2_resac_Ant_dw60_s2,paper_full_v2,resac,Ant-v2,2,60,300,1499,True,2604.688,2254.001,15583.620,11.178,26.828,1.303,True,0:2157.6;1:2567.5;2:3342.2;3:2121.0,3,2120.972,426.095,1171.638,22,3.5,67.5
paper_full_v2_resac_Ant_dw60_s3,paper_full_v2,resac,Ant-v2,3,60,300,1499,True,6831.113,6664.668,21170.043,11.034,26.482,1.271,True,0:6952.9;1:2081.4,1,2081.407,2435.747,1480.892,30,3.0,17.9
paper_full_v2_resac_Ant_dw60_s4,paper_full_v2,resac,Ant-v2,4,60,300,1499,True,1251.922,535.337,14102.495,9.983,23.960,1.113,True,0:1225.3;1:1353.2;2:1261.2,0,1225.292,54.594,659.801,35,3.0,62.2
paper_full_v2_resac_HalfCheetah_dw60_s0,paper_full_v2,resac,HalfCheetah-v2,0,60,300,1499,True,18387.772,490.909,19651.756,22.361,53.668,1.241,True,0:18619.9;1:18633.2;3:18193.6,3,18193.594,288.653,17766.583,27,2.0,2.2
paper_full_v2_resac_HalfCheetah_dw60_s1,paper_full_v2,resac,HalfCheetah-v2,1,60,300,1499,True,14064.521,444.780,14900.946,22.654,54.370,1.258,True,0:14338.0;1:14057.2;2:14068.7;3:13997.0,3,13997.015,118.215,13506.758,26,2.0,3.7
paper_full_v2_resac_HalfCheetah_dw60_s2,paper_full_v2,resac,HalfCheetah-v2,2,60,300,1499,True,8531.809,269.971,9467.740,24.631,59.115,1.433,True,0:8423.7;1:8488.7;2:8678.9;3:8475.4,0,8423.671,93.000,8185.454,21,2.0,2.2
paper_full_v2_resac_HalfCheetah_dw60_s3,paper_full_v2,resac,HalfCheetah-v2,3,60,300,1499,True,16319.713,830.461,17653.888,20.325,48.779,1.104,True,0:16310.8;1:16665.4,0,16310.848,177.284,15152.759,29,2.0,2.3
paper_full_v2_resac_HalfCheetah_dw60_s4,paper_full_v2,resac,HalfCheetah-v2,4,60,300,1499,True,20217.047,1222.385,21805.443,21.838,52.410,1.205,True,0:20573.7;1:20575.5;2:19822.5,2,19822.546,501.385,18419.219,33,2.0,2.7
paper_full_v2_sac_Ant_dw60_s0,paper_full_v2,sac,Ant-v2,0,60,300,1499,True,11570.642,335.566,12300.815,7.679,18.430,0.774,True,0:11234.3;1:11902.5;3:11633.2,0,11234.337,355.687,11173.087,28,2.0,2.2
paper_full_v2_sac_Ant_dw60_s1,paper_full_v2,sac,Ant-v2,1,60,300,1499,True,16521.106,6423.325,21643.357,7.282,17.476,0.726,True,1:16583.9;2:18332.4;3:16152.9,3,16152.939,870.138,9174.716,30,2.0,3.1
paper_full_v2_sac_Ant_dw60_s2,paper_full_v2,sac,Ant-v2,2,60,300,1499,True,17578.766,890.924,19233.307,7.162,17.189,0.670,True,0:16424.3;1:17936.7;2:18136.5;3:17015.4,0,16424.298,953.905,16299.273,22,2.0,6.1
paper_full_v2_sac_Ant_dw60_s3,paper_full_v2,sac,Ant-v2,3,60,300,1499,True,18770.357,465.109,19720.590,6.358,15.259,0.584,True,0:18771.3;1:18731.9,1,18731.895,19.724,18139.584,30,2.0,2.2
paper_full_v2_sac_Ant_dw60_s4,paper_full_v2,sac,Ant-v2,4,60,300,1499,True,16891.757,2764.577,19085.893,3.675,8.820,0.192,True,0:16287.3;1:17532.7;2:17363.2,0,16287.320,773.742,14964.579,35,2.0,2.1
paper_full_v2_sac_HalfCheetah_dw60_s0,paper_full_v2,sac,HalfCheetah-v2,0,60,300,1499,True,8070.188,285.562,8544.142,22.386,53.726,1.262,True,0:8102.9;2:8188.9;3:7850.5,3,7850.477,196.952,7707.391,16,2.0,2.0
paper_full_v2_sac_HalfCheetah_dw60_s1,paper_full_v2,sac,HalfCheetah-v2,1,60,300,1499,True,21352.867,504.120,22381.038,22.687,54.449,1.261,True,0:20872.3;1:21684.5;2:21151.8;3:21448.0,0,20872.311,416.834,20647.979,26,2.0,2.0
paper_full_v2_sac_HalfCheetah_dw60_s2,paper_full_v2,sac,HalfCheetah-v2,2,60,300,1499,True,13491.645,449.715,14472.847,24.470,58.727,1.399,True,0:13430.2;1:13556.5;2:13426.8;3:13495.8,2,13426.843,50.500,12920.265,21,2.0,2.2
paper_full_v2_sac_HalfCheetah_dw60_s3,paper_full_v2,sac,HalfCheetah-v2,3,60,300,1499,True,8618.458,161.704,8934.680,18.310,43.944,0.951,True,0:8622.4;1:8464.1,1,8464.132,79.142,8406.080,27,2.0,2.2
paper_full_v2_sac_HalfCheetah_dw60_s4,paper_full_v2,sac,HalfCheetah-v2,4,60,300,1499,True,7653.178,389.203,9611.926,23.295,55.907,1.317,True,0:7634.4;1:7555.3;2:7686.4,1,7555.299,70.074,7134.383,32,2.0,2.0
paper_legacy_v2_bapr_Ant_dw60_s0,paper_legacy_v2,bapr,Ant-v2,0,60,300,1499,True,15748.920,6256.711,21531.838,11.054,26.529,2.508,True,0:15490.4;1:18995.4;3:14845.2,3,14845.218,1598.445,5123.666,28,2.0,3.5
